2022-09-19 18:08:49.555 [Thread-21] INFO  o.s.c.netflix.eureka.server.EurekaServerBootstrap - Setting the eureka configuration..
2022-09-19 18:08:49.556 [Thread-21] INFO  o.s.c.netflix.eureka.server.EurekaServerBootstrap - Eureka data center value eureka.datacenter is not set, defaulting to default
2022-09-19 18:08:49.556 [Thread-21] INFO  o.s.c.netflix.eureka.server.EurekaServerBootstrap - Eureka environment value eureka.environment is not set, defaulting to test
2022-09-19 18:08:49.564 [Thread-21] INFO  o.s.c.netflix.eureka.server.EurekaServerBootstrap - isAws returned false
2022-09-19 18:08:49.565 [Thread-21] INFO  o.s.c.netflix.eureka.server.EurekaServerBootstrap - Initialized server context
2022-09-19 18:08:49.565 [Thread-21] INFO  c.n.eureka.registry.PeerAwareInstanceRegistryImpl - Got 1 instances from neighboring DS node
2022-09-19 18:08:49.565 [Thread-21] INFO  c.n.eureka.registry.PeerAwareInstanceRegistryImpl - Renew threshold is: 1
2022-09-19 18:08:49.565 [Thread-21] INFO  c.n.eureka.registry.PeerAwareInstanceRegistryImpl - Changing status to UP
2022-09-19 18:08:49.566 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-18761"]
2022-09-19 18:08:49.598 [Thread-21] INFO  o.s.c.n.e.s.EurekaServerInitializerConfiguration - Started Eureka Server
2022-09-19 18:08:49.615 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 18761 (http) with context path ''
2022-09-19 18:08:49.617 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 18761
2022-09-19 18:08:49.758 [main] INFO  center.misaki.eureka.EurekaApp - Started EurekaApp in 5.186 seconds (JVM running for 8.596)
2022-09-19 18:08:50.154 [RMI TCP Connection(3)-172.18.17.33] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-09-19 18:08:50.155 [RMI TCP Connection(3)-172.18.17.33] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-09-19 18:08:50.163 [RMI TCP Connection(3)-172.18.17.33] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 8 ms
2022-09-19 18:09:32.011 [http-nio-18761-exec-3] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance DEVICE-DATA/Misaki-0112:device-data:8002 with status UP (replication=false)
2022-09-19 18:09:32.593 [http-nio-18761-exec-2] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance DEVICE-DATA/Misaki-0112:device-data:8002 with status UP (replication=true)
2022-09-19 18:09:36.687 [http-nio-18761-exec-5] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance GATEWAY/Misaki-0112:gateway with status UP (replication=false)
2022-09-19 18:09:37.216 [http-nio-18761-exec-6] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance GATEWAY/Misaki-0112:gateway with status UP (replication=true)
2022-09-19 18:09:38.474 [http-nio-18761-exec-8] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance AUTH-CENTER/Misaki-0112:auth-center:8001 with status UP (replication=false)
2022-09-19 18:09:39.007 [http-nio-18761-exec-9] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance AUTH-CENTER/Misaki-0112:auth-center:8001 with status UP (replication=true)
2022-09-19 18:09:49.580 [Eureka-EvictionTimer] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2022-09-19 18:10:49.593 [Eureka-EvictionTimer] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 13ms
